Unnamed: 0,week_label,state,district,disease,cases,deaths,day,mon,year,latitude,longitude,rainfall_mm,leaf_area_index,Temp,temp_celsius,date,population,area_sq_km,density_per_sqkm,cases_per_100k,season,quarter,cases_4wk_avg
1487,17th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,6,0.0,26,4,2018,11.07603595,79.11745538,0.002088762807,5.0,314.408,41.26,2018-04-26,2251744.0,,453.49,0.2665,Summer,2,6.0
1579,24th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,9,0.0,12,6,2018,11.07603595,79.11745538,0.08966642706,7.0,312.53000000000003,39.38,2018-06-12,2251744.0,,453.49,0.3997,Monsoon,2,7.5
792,15th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,11,0.0,14,4,2019,11.07603595,79.11745538,0.01383985113,8.0,313.964,40.81,2019-04-14,2251744.0,,453.49,0.4885,Summer,2,8.67
38,12th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,14,0.0,24,3,2022,11.07603595,79.11745538,0.003166009915,8.0,308.436,35.29,2022-03-24,2251744.0,,453.49,0.6217,Summer,1,10.0
69,17th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,17,0.0,28,4,2022,11.07603595,79.11745538,0.03080676776,8.0,310.16,37.01,2022-04-28,2251744.0,,453.49,0.755,Summer,2,12.75
757,8th week,Tamil Nadu,Ariyalur,Chikungunya,15,0.0,18,2,2019,11.07603595,79.11745538,0.01820628309,8.0,307.656,34.51,2019-02-18,2251744.0,,453.49,0.6662,Winter,1,15.0
7970,51st week,Tamil Nadu,Ariyalur,Dengue,7,0.0,15,12,2011,11.07603595,79.11745538,0.09005000891,12.0,299.948,26.8,2011-12-15,2251744.0,,453.49,0.3109,Winter,4,7.0
1400,4th week,Tamil Nadu,Ariyalur,Dengue,12,0.0,27,1,2018,11.07603595,79.11745538,0.0003547658254,10.0,304.928,31.78,2018-01-27,2251744.0,,453.49,0.5329,Winter,1,9.5
449,40th week,Tamil Nadu,Ariyalur,Dengue,17,0.0,6,10,2021,11.07603595,79.11745538,0.826018148,9.0,308.38,35.23,2021-10-06,2251744.0,,453.49,0.755,Post-Monsoon,4,12.0
26,10th week,Tamil Nadu,Ariyalur,Dengue,6,0.0,5,2,2022,11.07603595,79.11745538,0.01250872941,10.0,303.384,30.23,2022-02-05,2251744.0,,453.49,0.2665,Winter,1,10.5
27,10th week,Tamil Nadu,Ariyalur,pyrexia of unknown origin,15,0.0,31,1,2022,11.07603595,79.11745538,0.08308958667,10.0,300.355,27.21,2022-01-31,2251744.0,,453.49,0.6662,Winter,1,15.0
7318,23rd week,Tamil Nadu,Coimbatore,Acute Diarrhoeal Disease,66,0.0,6,6,2011,11.0600516,77.0679581,1.029452637,7.0,308.40000000000003,35.25,2011-06-06,3458127.0,4723.0,732.19,1.9085,Monsoon,2,66.0
7883,45th week,Tamil Nadu,Coimbatore,Acute Diarrhoeal Disease,20,0.0,23,8,2011,11.0600516,77.0679581,1.285018479,7.0,308.7,35.55,2011-08-23,3458127.0,4723.0,732.19,0.5783,Monsoon,3,43.0
